date,quarter,revenue,expenses,profit_margin,cash_flow,arr,mrr,ltv,cac,department
2024-07-02,Q3,220519.09,123234.75,44.12,97284.34,2646229.11,220519.09,11438.61,1813.87,Sales
2024-08-02,Q3,1475928.89,934592.07,36.68,637662.78,17711146.68,1475928.89,11946.15,1058.95,Company
2024-08-02,Q3,408097.72,236274.18,42.1,171823.54,4897172.68,408097.72,11231.22,1211.6,Marketing
2024-08-02,Q3,427013.57,274178.96,35.79,152834.61,5124162.87,427013.57,10883.6,1202.57,Product
2024-08-02,Q3,299504.96,239836.46,19.92,59668.5,3594059.5,299504.96,13385.96,1261.26,Engineering
2024-08-02,Q3,244147.15,165679.85,32.14,78467.3,2929765.86,244147.15,9579.07,1083.73,Finance
2024-08-02,Q3,344315.87,276288.23,19.76,68027.64,4131790.39,344315.87,13551.44,1018.94,HR
2024-08-02,Q3,217804.71,115817.86,46.82,101986.85,2613656.54,217804.71,10647.05,1216.33,Sales
2024-09-02,Q3,1687748.24,1333015.55,21.02,448866.57,20252978.9,1687748.24,6051.52,644.96,Company
2024-09-02,Q3,185672.63,162868.42,12.28,22804.22,2228071.6,185672.63,5463.73,705.98,Marketing
2024-09-02,Q3,337107.49,175368.07,47.98,161739.42,4045289.89,337107.49,6718.38,604.14,Product
2024-09-02,Q3,451218.46,320203.12,29.04,131015.34,5414621.49,451218.46,6489.95,734.39,Engineering
2024-09-02,Q3,332734.8,171336.96,48.51,161397.84,3992817.55,332734.8,7105.89,716.73,Finance
2024-09-02,Q3,424363.62,278156.61,34.45,146207.01,5092363.42,424363.62,7214.69,555.33,HR
2024-09-02,Q3,302125.35,180733.17,40.18,121392.18,3625504.21,302125.35,6951.83,594.81,Sales
2024-10-02,Q4,1851832.84,1317919.22,28.83,533086.28,22221994.07,1851832.84,8923.7,1737.75,Company
2024-10-02,Q4,271499.74,150023.79,44.74,121475.95,3257996.92,271499.74,9226.81,1413.56,Marketing
2024-10-02,Q4,401711.49,322596.07,19.69,79115.42,4820537.86,401711.49,8693.32,2023.55,Product
2024-10-02,Q4,188132.15,151969.6,19.22,36162.55,2257585.79,188132.15,7141.84,2035.01,Engineering
2024-10-02,Q4,535657.28,436794.67,18.46,98862.62,6427887.4,535657.28,7560.96,1516.58,Finance
2024-10-02,Q4,494141.95,304315.55,38.42,189826.4,5929703.4,494141.95,10298.78,1694.68,HR
2024-10-02,Q4,483622.6,337992.85,30.11,145629.75,5803471.2,483622.6,7281.66,1808.42,Sales
2024-11-02,Q4,1773712.39,1321357.21,25.5,453620.78,21284548.7,1773712.39,8276.26,1492.56,Company
2024-11-02,Q4,403513.45,339028.61,15.98,64484.84,4842161.43,403513.45,7191.08,1238.44,Marketing
2024-11-02,Q4,381898.4,310930.17,18.58,70968.23,4582780.84,381898.4,8470.88,1414.28,Product
2024-11-02,Q4,471386.71,378957.65,19.61,92429.06,5656640.47,471386.71,9357.39,1230.23,Engineering
2024-11-02,Q4,429550.11,246021.86,42.73,183528.24,5154601.29,429550.11,8279.42,1652.75,Finance
2024-11-02,Q4,384955.03,260782.9,32.26,124172.14,4619460.41,384955.03,9164.7,1261.49,HR
2024-11-02,Q4,402896.71,288716.35,28.34,114180.36,4834760.54,402896.71,6802.92,1250.99,Sales
2024-12-02,Q4,1826095.99,1457494.22,20.19,346111.52,21913151.87,1826095.99,10960.42,752.38,Company
2024-12-02,Q4,406413.92,256540.79,36.88,149873.13,4876967.0,406413.92,10053.1,860.2,Marketing
2024-12-02,Q4,407861.74,328854.97,19.37,79006.77,4894340.87,407861.74,9936.5,606.69,Product
2024-12-02,Q4,445760.89,312816.49,29.82,132944.4,5349130.64,445760.89,13019.29,838.81,Engineering
2024-12-02,Q4,499021.29,262449.67,47.41,236571.62,5988255.51,499021.29,12699.55,731.6,Finance
2024-12-02,Q4,495021.6,296882.41,40.03,198139.19,5940259.23,495021.6,13148.86,727.77,HR
2024-12-02,Q4,350671.72,285885.15,18.47,64786.58,4208060.7,350671.72,12747.7,856.79,Sales
2025-01-02,Q1,2087572.2,1586520.69,24.0,486784.92,25050866.44,2087572.2,7028.28,867.23,Company
2025-01-02,Q1,602904.39,518647.99,13.98,84256.4,7234852.69,602904.39,6926.82,878.61,Marketing
2025-01-02,Q1,264009.23,148719.7,43.67,115289.53,3168110.79,264009.23,8255.66,893.93,Product
2025-01-02,Q1,241081.25,207273.32,14.02,33807.93,2892974.99,241081.25,5966.35,864.72,Engineering
2025-01-02,Q1,608849.81,454242.84,25.39,154606.97,7306197.73,608849.81,7883.81,783.33,Finance
2025-01-02,Q1,210179.15,146006.49,30.53,64172.66,2522149.78,210179.15,6588.69,855.01,HR
2025-01-02,Q1,497719.33,447354.67,10.12,50364.66,5972631.91,497719.33,7202.45,854.82,Sales
2025-02-02,Q1,2055294.65,1517639.49,26.16,612662.58,24663535.75,2055294.65,12833.42,887.08,Company
2025-02-02,Q1,601466.77,504399.87,16.14,97066.9,7217601.26,601466.77,11757.02,863.91,Marketing
2025-02-02,Q1,565464.41,458543.55,18.91,106920.86,6785572.95,565464.41,13302.4,811.16,Product
2025-02-02,Q1,287263.29,187799.65,34.62,99463.64,3447159.45,287263.29,10761.36,984.92,Engineering
2025-02-02,Q1,590072.43,386070.81,34.57,204001.62,7080869.19,590072.43,11340.97,820.72,Finance
2025-02-02,Q1,220835.93,118117.67,46.51,102718.26,2650031.15,220835.93,12007.54,1008.81,HR
2025-02-02,Q1,267651.29,169843.93,36.54,97807.36,3211815.54,267651.29,11666.65,1002.86,Sales
2025-03-02,Q1,1969609.77,1375399.15,30.17,625946.42,23635317.18,1969609.77,9274.66,1866.75,Company
2025-03-02,Q1,427753.13,237868.3,44.39,189884.83,5133037.59,427753.13,10532.04,1642.62,Marketing
2025-03-02,Q1,213464.69,191115.54,10.47,22349.15,2561576.25,213464.69,8407.66,1949.78,Product
2025-03-02,Q1,385595.04,255555.22,33.72,130039.82,4627140.51,385595.04,8890.57,1630.87,Engineering
2025-03-02,Q1,256625.22,178082.12,30.61,78543.11,3079502.7,256625.22,8798.83,1767.41,Finance
2025-03-02,Q1,582361.28,408506.91,29.85,173854.38,6988335.38,582361.28,7829.06,1530.22,HR
2025-03-02,Q1,565973.29,328139.79,42.02,237833.5,6791679.43,565973.29,10125.01,2070.58,Sales
2025-04-02,Q2,2036734.98,1375430.94,32.47,618573.51,24440819.75,2036734.98,5188.41,1935.12,Company
2025-04-02,Q2,608579.95,432909.46,28.87,175670.49,7302959.38,608579.95,4394.68,1907.71,Marketing
2025-04-02,Q2,426336.91,229874.77,46.08,196462.14,5116042.93,426336.91,4568.1,1682.17,Product
2025-04-02,Q2,505585.09,345555.51,31.65,160029.58,6067021.1,505585.09,4274.5,1768.41,Engineering
2025-04-02,Q2,387841.2,202223.69,47.86,185617.5,4654094.34,387841.2,5542.17,1760.93,Finance
2025-04-02,Q2,310976.82,254451.98,18.18,56524.84,3731721.8,310976.82,5190.69,1851.25,HR
2025-04-02,Q2,231377.19,178884.24,22.69,52492.94,2776526.26,231377.19,4245.0,1766.87,Sales
2025-05-02,Q2,2457999.99,1566762.85,36.26,890158.37,29495999.86,2457999.99,5067.56,1896.05,Company
2025-05-02,Q2,338125.06,202772.84,40.03,135352.22,4057500.74,338125.06,6032.39,1653.85,Marketing
2025-05-02,Q2,565653.7,295660.7,47.73,269993.0,6787844.4,565653.7,4372.3,2024.9,Product
2025-05-02,Q2,568469.18,483315.47,14.98,85153.71,6821630.17,568469.18,5518.94,1761.47,Engineering
2025-05-02,Q2,411906.23,211981.08,48.54,199925.15,4942874.77,411906.23,6012.77,1801.79,Finance
2025-05-02,Q2,416149.18,277408.73,33.34,138740.45,4993790.16,416149.18,4283.56,1650.38,HR
2025-05-02,Q2,670339.04,499163.68,25.54,171175.36,8044068.49,670339.04,5249.36,1847.85,Sales
2025-06-02,Q2,2157275.13,1340043.48,37.88,829503.08,25887301.5,2157275.13,8312.03,786.95,Company
2025-06-02,Q2,307339.66,186522.16,39.31,120817.5,3688075.97,307339.66,9234.11,866.12,Marketing
2025-06-02,Q2,426473.35,356798.71,16.34,69674.64,5117680.16,426473.35,7918.29,664.26,Product
2025-06-02,Q2,583380.93,446847.81,23.4,136533.11,7000571.12,583380.93,8101.96,641.25,Engineering
2025-06-02,Q2,310703.71,233534.87,24.84,77168.84,3728444.54,310703.71,6801.19,781.11,Finance
2025-06-02,Q2,641950.85,362680.27,43.5,279270.59,7703410.24,641950.85,9405.64,791.3,HR
2025-06-02,Q2,525915.85,466896.2,11.22,59019.65,6310990.25,525915.85,9668.91,846.29,Sales
2025-07-02,Q3,2400313.08,1817395.3,24.29,639012.99,28803756.91,2400313.08,7288.18,1808.74,Company
2025-07-02,Q3,642261.94,459655.95,28.43,182605.99,7707143.34,642261.94,6301.9,2020.14,Marketing
2025-07-02,Q3,459102.23,355187.98,22.63,103914.25,5509226.76,459102.23,6265.94,1514.08,Product
2025-07-02,Q3,639049.38,529284.49,17.18,109764.89,7668592.53,639049.38,6057.6,1637.87,Engineering
2025-07-02,Q3,454186.81,389835.12,14.17,64351.69,5450241.71,454186.81,7754.21,1600.62,Finance
2025-07-02,Q3,602100.39,355098.02,41.02,247002.38,7225204.73,602100.39,6821.47,1967.67,HR
2025-07-02,Q3,624277.17,485183.81,22.28,139093.36,7491326.07,624277.17,6690.26,2101.91,Sales
2025-08-02,Q3,2292817.59,1555046.1,32.18,755452.43,27513811.1,2292817.59,14995.61,1994.38,Company
2025-08-02,Q3,424576.56,262644.77,38.14,161931.78,5094918.69,424576.56,14238.33,1993.88,Marketing
2025-08-02,Q3,669333.75,553986.58,17.23,115347.17,8032005.04,669333.75,14761.96,1925.97,Product
2025-08-02,Q3,267522.26,152326.31,43.06,115195.95,3210267.16,267522.26,17765.17,1678.28,Engineering
2025-08-02,Q3,549387.87,303468.89,44.76,245918.97,6592654.42,549387.87,14120.4,1848.38,Finance
2025-08-02,Q3,647390.68,400665.57,38.11,246725.12,7768688.21,647390.68,14936.52,1924.31,HR
2025-08-02,Q3,607768.92,346874.31,42.93,260894.61,7293227.02,607768.92,14614.93,2180.59,Sales
2025-09-02,Q3,2376935.43,1805525.7,24.04,576091.06,28523225.13,2376935.43,9322.29,869.93,Company
2025-09-02,Q3,573867.87,490612.65,14.51,83255.21,6886414.42,573867.87,10571.75,786.99,Marketing
2025-09-02,Q3,430086.31,354327.03,17.61,75759.29,5161035.74,430086.31,9570.77,835.63,Product
2025-09-02,Q3,656598.61,538310.44,18.02,118288.17,7879183.31,656598.61,10061.63,845.51,Engineering
2025-09-02,Q3,603564.48,365872.29,39.38,237692.19,7242773.73,603564.48,8358.75,1013.39,Finance
2025-09-02,Q3,369840.87,196370.44,46.9,173470.43,4438090.5,369840.87,9178.91,973.24,HR
2025-09-02,Q3,588079.76,510775.75,13.15,77304.01,7056957.07,588079.76,8475.02,790.74,Sales
2025-10-02,Q4,2551849.36,1593063.55,37.57,927971.09,30622192.38,2551849.36,7994.56,971.74,Company
2025-10-02,Q4,714475.87,546663.94,23.49,167811.93,8573710.49,714475.87,8098.57,1023.44,Marketing
2025-10-02,Q4,632197.53,388079.32,38.61,244118.2,7586370.33,632197.53,8011.11,916.08,Product
2025-10-02,Q4,387432.2,289112.83,25.38,98319.37,4649186.39,387432.2,7740.14,1015.52,Engineering
2025-10-02,Q4,306060.73,244686.84,20.05,61373.89,3672728.73,306060.73,9191.68,1033.77,Finance
2025-10-02,Q4,341975.81,290949.28,14.92,51026.53,4103709.71,341975.81,6854.82,970.74,HR
2025-10-02,Q4,324906.66,195775.32,39.74,129131.34,3898879.97,324906.66,8546.76,844.5,Sales
2025-08-29,Q3,2529501.5,1809280.56,28.47,721677.65,30354017.99,2529501.5,10389.46,1400.55,Company
2025-08-29,Q3,469828.01,260419.17,44.57,209408.84,5637936.16,469828.01,9670.37,1131.85,Marketing
2025-08-29,Q3,421131.71,342159.53,18.75,78972.18,5053580.5,421131.71,10920.26,1293.96,Product
2025-08-29,Q3,357271.27,270215.94,24.37,87055.33,4287255.22,357271.27,11044.81,1569.5,Engineering
2025-08-29,Q3,337380.87,251502.22,25.45,85878.65,4048570.44,337380.87,9887.93,1218.78,Finance
2025-08-29,Q3,695596.27,547007.09,21.36,148589.19,8347155.28,695596.27,12389.96,1382.52,HR
2025-08-29,Q3,374134.1,325187.13,13.08,48946.98,4489609.24,374134.1,9719.67,1583.68,Sales
2025-09-05,Q3,2410201.34,1710839.25,29.02,758223.65,28922416.11,2410201.34,6862.75,508.59,Company
2025-09-05,Q3,266073.5,238271.34,10.45,27802.17,3192882.02,266073.5,7335.18,410.96,Marketing
2025-09-05,Q3,381224.19,298322.96,21.75,82901.23,4574690.27,381224.19,5800.63,586.12,Product
2025-09-05,Q3,638957.36,498925.47,21.92,140031.89,7667488.35,638957.36,7206.3,435.79,Engineering
2025-09-05,Q3,654050.16,478260.65,26.88,175789.51,7848601.97,654050.16,6410.2,549.78,Finance
2025-09-05,Q3,343606.12,279721.06,18.59,63885.06,4123273.43,343606.12,6150.72,422.86,HR
2025-09-05,Q3,707007.81,407630.43,42.34,299377.38,8484093.74,707007.81,5714.34,425.39,Sales
2025-09-12,Q3,2396537.4,1697594.09,29.16,733226.44,28758448.75,2396537.4,5448.15,1310.97,Company
2025-09-12,Q3,447263.68,331616.21,25.86,115647.47,5367164.16,447263.68,5875.41,1405.79,Marketing
2025-09-12,Q3,568041.98,307527.95,45.86,260514.03,6816503.75,568041.98,5345.98,1294.32,Product
2025-09-12,Q3,263068.1,149333.84,43.23,113734.26,3156817.2,263068.1,6372.57,1311.62,Engineering
2025-09-12,Q3,411716.24,306974.38,25.44,104741.86,4940594.9,411716.24,4653.75,1482.89,Finance
2025-09-12,Q3,570055.28,390245.62,31.54,179809.67,6840663.41,570055.28,4716.42,1432.18,HR
2025-09-12,Q3,501829.24,444470.22,11.43,57359.02,6021950.89,501829.24,4467.87,1213.51,Sales
2025-09-19,Q3,2378237.06,1530453.0,35.65,911226.17,28538844.73,2378237.06,8898.05,606.69,Company
2025-09-19,Q3,360657.2,249717.71,30.76,110939.49,4327886.4,360657.2,10044.78,686.59,Marketing
2025-09-19,Q3,240028.44,177029.19,26.25,62999.25,2880341.33,240028.44,9986.13,714.39,Product
2025-09-19,Q3,393012.97,290914.08,25.98,102098.89,4716155.61,393012.97,7339.14,686.45,Engineering
2025-09-19,Q3,391051.36,311502.9,20.34,79548.46,4692616.34,391051.36,8719.25,611.7,Finance
2025-09-19,Q3,353844.9,312246.31,11.76,41598.58,4246138.75,353844.9,7333.31,499.57,HR
2025-09-19,Q3,474868.02,389921.82,17.89,84946.21,5698416.26,474868.02,7184.55,688.7,Sales
2025-09-26,Q3,2392608.48,1514585.66,36.7,885272.08,28711301.81,2392608.48,12180.26,1299.86,Company
2025-09-26,Q3,404219.59,307091.1,24.03,97128.5,4850635.1,404219.59,10167.49,1538.46,Marketing
2025-09-26,Q3,433864.51,239644.01,44.77,194220.5,5206374.13,433864.51,14086.97,1293.71,Product
2025-09-26,Q3,555905.36,354549.92,36.22,201355.44,6670864.26,555905.36,13619.92,1442.12,Engineering
2025-09-26,Q3,435104.1,333947.95,23.25,101156.15,5221249.15,435104.1,10015.34,1345.77,Finance
2025-09-26,Q3,713256.42,421481.11,40.91,291775.31,8559077.03,713256.42,11913.29,1389.73,HR
2025-09-26,Q3,252752.0,139792.42,44.69,112959.58,3033024.03,252752.0,10963.39,1076.24,Sales
2025-10-03,Q4,2804591.03,1707643.63,39.11,1141136.98,33655092.38,2804591.03,8796.7,936.23,Company
2025-10-03,Q4,738054.24,650877.89,11.81,87176.35,8856650.82,738054.24,9444.98,1123.03,Marketing
2025-10-03,Q4,517239.01,375604.35,27.38,141634.67,6206868.16,517239.01,9688.54,1010.92,Product
2025-10-03,Q4,776801.77,632432.87,18.59,144368.9,9321621.29,776801.77,8591.07,1022.6,Engineering
2025-10-03,Q4,463551.81,280792.93,39.43,182758.88,5562621.71,463551.81,8169.12,1035.48,Finance
2025-10-03,Q4,435801.48,273037.97,37.35,162763.51,5229617.78,435801.48,8536.44,899.68,HR
2025-10-03,Q4,651993.36,507689.71,22.13,144303.65,7823920.31,651993.36,10312.08,923.02,Sales
2025-10-10,Q4,2678700.1,2013250.09,24.84,734457.9,32144401.21,2678700.1,10218.46,799.98,Company
2025-10-10,Q4,467477.85,406565.94,13.03,60911.92,5609734.25,467477.85,9534.16,881.27,Marketing
2025-10-10,Q4,690126.59,499637.99,27.6,190488.6,8281519.08,690126.59,8710.37,870.74,Product
2025-10-10,Q4,765228.89,389031.36,49.16,376197.54,9182746.74,765228.89,9973.05,927.89,Engineering
2025-10-10,Q4,675775.35,603811.38,10.65,71963.97,8109304.15,675775.35,11481.51,791.07,Finance
2025-10-10,Q4,569109.73,452851.57,20.43,116258.16,6829316.82,569109.73,11150.31,643.3,HR
2025-10-10,Q4,269482.23,219008.89,18.73,50473.35,3233786.8,269482.23,10080.07,773.4,Sales
2025-10-17,Q4,2446119.58,1835634.7,24.96,662194.02,29353434.9,2446119.58,12592.49,1174.86,Company
2025-10-17,Q4,718425.88,434459.62,39.53,283966.26,8621110.56,718425.88,13888.9,954.31,Marketing
2025-10-17,Q4,350902.59,234437.04,33.19,116465.55,4210831.13,350902.59,14144.22,1153.83,Product
2025-10-17,Q4,662905.56,405374.27,38.85,257531.29,7954866.69,662905.56,12209.76,1188.65,Engineering
2025-10-17,Q4,696723.82,412311.22,40.82,284412.6,8360685.88,696723.82,10872.8,1189.18,Finance
2025-10-17,Q4,576394.1,456730.2,20.76,119663.9,6916729.15,576394.1,11103.87,1390.55,HR
2025-10-17,Q4,670915.69,554358.95,17.37,116556.74,8050988.29,670915.69,14985.2,1175.34,Sales
